[68] Error : 47.67237, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[69] Error : 47.67030, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[70] Error : 47.66843, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[71] Error : 47.66678, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[72] Error : 47.66529, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[73] Error : 47.66393, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[74] Error : 47.66268, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[75] Error : 47.66148, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[76] Error : 47.66033, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[77] Error : 47.65923, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[78] Error : 47.65813, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[79] Error : 47.65702, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[80] Error : 47.65595, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[81] Error : 47.65485, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[82] Error : 47.65376, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[83] Error : 47.65268, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[84] Error : 47.65165, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[85] Error : 47.65064, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[86] Error : 47.64968, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[87] Error : 47.64876, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[88] Error : 47.64790, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[89] Error : 47.64710, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[90] Error : 47.64637, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[91] Error : 47.64569, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[92] Error : 47.64507, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[93] Error : 47.64452, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[94] Error : 47.64405, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[95] Error : 47.64360, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[96] Error : 47.64322, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 9 out of 100, Valid Correct 0 out of 4
[97] Error : 47.64287, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[98] Error : 47.64257, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[99] Error : 47.64229, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[100] Error : 47.64207, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[101] Error : 47.64185, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[102] Error : 47.64165, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[103] Error : 47.64148, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
